"","AcadYr","AcadTerm","DepartmentNameByCourseCode","Course number","CourseCode","SectionNumber","CourseTitle","ClassType","Instructor1Name","GradeACount","GradeBCount","GradeCCount","GradeDCount","GradeFCount","GradePCount","GradeNPCount","GradeWCount"
"1","2010-11","Fall","African American Studies",40,20010,"A","AFRICAN AMERICAN I","LEC","Cooks Cumbo B.",35,51,25,8,1,25,5,0
"2","2010-11","Fall","African American Studies",115,20030,"A","CINEMA OF POLICING","LEC","Sexton J.",12,4,0,0,0,0,0,0
"3","2010-11","Fall","African American Studies",124,20040,"A","RACE AND GENDER","LEC","Kim K.",8,1,2,0,1,0,0,0
"4","2010-11","Fall","African American Studies",158,20120,"B","RACE & ETHNICITY I","LEC","Huie K.",20,0,0,0,1,1,0,0
"5","2010-11","Fall","Anthropology",2,60000,"A","INTR SOCIOCULT ANTH","LEC","Bernal V.",231,123,25,10,0,6,1,2
"6","2010-11","Fall","Anthropology",2,60020,"B","INTR SOCIOCULT ANTH","LEC","Egan J.",52,119,113,24,21,8,11,0
"7","2010-11","Fall","Anthropology",2,60040,"C","INTR SOCIOCULT ANTH","LEC","Garcia A.",113,121,35,2,6,8,2,0
"8","2010-11","Fall","Anthropology",2,60055,"A","INTRO TO BIO ANTHRO","LEC","Egan J.",29,56,56,15,7,2,2,1
"9","2010-11","Fall","Anthropology",2,60065,"A","INTRO ARCHAEOLOGY","LEC","Drover C.",29,54,25,1,1,2,0,0
"10","2010-11","Fall","Anthropology",10,60080,"A","PROBABILITY & STATS","LEC","Huffman M.",19,24,28,4,1,1,0,0
"11","2010-11","Fall","Anthropology",30,60100,"A","GLOB ISS ANTH PERSP","LEC","Shahine S.",39,14,5,1,0,2,0,0
"12","2010-11","Fall","Anthropology",30,60120,"A","ETHNOG&ANTH METHODS","LEC","Shahine S.",26,7,2,0,0,0,0,2
"13","2010-11","Fall","Anthropology",41,60150,"A","GLOBAL CULTURES&SOC","LEC","Douglas T.",123,77,22,2,2,11,1,2
"14","2010-11","Fall","Anthropology",121,60168,"A","X-CULT STDS GENDER","LEC","O'Rourke S.",55,15,1,3,3,1,0,0
"15","2010-11","Fall","Anthropology",125,60170,"A","ECONOMIC ANTHRO","LEC","Mastnak J.",9,9,0,0,1,0,1,0
"16","2010-11","Fall","Anthropology",134,60185,"A","MEDICAL ANTHRO","LEC","Montoya M.",58,53,15,1,7,2,0,1
"17","2010-11","Fall","Anthropology",135,60195,"A","RELIGION & SOCIETY","LEC","O'Rourke S.",51,18,1,0,2,0,1,1
"18","2010-11","Fall","Anthropology",138,60200,"A","AFRICA & AFROAM MUS","LEC","Garfias R.",96,53,28,0,5,5,0,3
"19","2010-11","Fall","Anthropology",139,60220,"A","APPLIED ANTHRO","LEC","Garb P.",28,10,0,0,0,0,0,0
"20","2010-11","Fall","Anthropology",139,60230,"B","MUS OF INDO&PHILPP","LEC","Garfias R.",30,18,3,0,3,1,1,0
"21","2010-11","Fall","Anthropology",139,60240,"C","ANTHRO OF MADNESS","LEC","Garcia A.",28,10,2,1,0,0,0,0
"22","2010-11","Fall","Anthropology",169,60300,"A","SE AS&SE AS MIGRNTS","LEC","Douglas T.",83,48,25,2,1,0,0,0
"23","2010-11","Fall","Anthropology",169,60320,"C","CINEMA AND THE CITY","LEC","Varzi R.",20,2,3,0,1,0,0,0
"24","2010-11","Fall","Anthropology",169,60330,"D","AFRCANS IN LAT AMER","LEC","O'Toole R.",7,9,0,0,0,0,0,0
"25","2010-11","Fall","Anthropology",174,60440,"A","HUMAN COMPLEXITY","LEC","White D.",19,9,1,0,0,1,0,0
"26","2010-11","Fall","Arabic",1,31700,"A","FUNDAMENTALS","LEC","Awad A.",16,3,2,1,3,1,0,0
"27","2010-11","Fall","Arabic",1,31701,"B","FUNDAMENTALS","LEC","Alsaffar M.",2,1,3,0,0,1,3,0
"28","2010-11","Fall","Art History",40,20200,"A","HISTORY WESTERN ART","LEC","Kennedy-Quigley S.",56,105,30,3,3,11,3,1
"29","2010-11","Fall","Art History",42,20220,"A","HIST OF ASIAN ART","LEC","Wolfgram J.",39,38,13,4,6,10,3,0
"30","2010-11","Fall","Art History",100,20321,"A","ANCIENT ART & ARCH","LEC","Kennedy-Quigley S.",3,14,10,0,2,0,1,0
"31","2010-11","Fall","Art History",114,20322,"A","MEDIEVAL ARCHITECT","LEC","Gonosova A.",5,13,6,0,1,0,1,0
"32","2010-11","Fall","Art History",120,20324,"A","INTRO RENAISSANCE","LEC","Massey L.",11,26,3,1,0,0,1,0
"33","2010-11","Fall","Art History",121,20326,"A","GENDER &RENAISSANCE","LEC","Massey L.",9,13,1,0,0,0,0,0
"34","2010-11","Fall","Art History",134,20328,"A","EUROP ART:1851-1907","LEC","Herbert J.",10,36,9,0,2,4,0,0
"35","2010-11","Fall","Art History",190,20338,"A","PRACTCUM FOR MAJORS","SEM","Cooks Cumbo B.",8,10,1,0,1,0,0,0
"36","2010-11","Fall","Art History",198,20401,"A","ART&MEDIEVAL ROYLTY","SEM","Gonosova A.",7,5,2,0,0,0,0,0
"37","2010-11","Fall","Arts",1,1000,"A","ARTS CORE","LEC","Barker S.",183,137,18,3,0,1,0,1
"38","2010-11","Fall","Arts",50,1020,"A","MEDIA: EXPERIENCE","LEC","Jackson J.",35,6,0,1,0,0,1,0
"39","2010-11","Fall","Asian American Studies",60,21020,"A","INTR ASIA AMER ST I","LEC","Fujita-Rony D.",31,100,23,0,0,14,0,1
"40","2010-11","Fall","Asian American Studies",100,21040,"A","RSCH METH/FIELD RES","LEC","Lee J.",16,5,0,0,0,0,0,0
"41","2010-11","Fall","Asian American Studies",114,21058,"A","ASNAM DOCUMTRY PRAC","LEC","Cho J.",9,1,0,0,0,1,0,0
"42","2010-11","Fall","Asian American Studies",116,21070,"A","ASIANAM POP CULTURE","LEC","Balance C.",13,7,1,0,0,1,0,0
"43","2010-11","Fall","Asian American Studies",143,21080,"A","RELIGIOUS TRAD ASAM","LEC","Mazumdar S.",17,19,2,0,1,0,0,0
"44","2010-11","Fall","Asian American Studies",150,21090,"A","AMERCN WAY OF EATNG","LEC","Chen Y.",13,6,0,0,0,3,0,0
"45","2010-11","Fall","Asian American Studies",151,21180,"A","FILIPINO/AMER EXPER","LEC","Balance C.",13,0,0,0,0,0,0,0
"46","2010-11","Fall","Biological Sciences",1,5000,"A","LIFE SCIENCES","LEC","Symanski R.",53,84,137,13,5,5,8,0
"47","2010-11","Fall","Biological Sciences",2,5002,"A","FRESHMAN SEMINAR","SEM","Leon M.",0,0,0,0,0,255,0,0
"48","2010-11","Fall","Biological Sciences",2,5003,"A","FRESHMAN SEMINAR","SEM","Leon M.",0,0,0,0,0,268,1,0
"49","2010-11","Fall","Biological Sciences",2,5004,"A","FRESHMAN SEMINAR","SEM","Leon M.",0,0,0,0,0,145,1,0
